20-91,36-157,50-218,75-320
186.54,723.3825,2051.2975,2497.96
369.5175,223.385,6316.3125,2451.6375
48.485,1189.84,2367.045,89446.4075
66.9275,1088.8475,903.7275,4842.5425
66.385,469.8225,398.375,660.0175
128.985,529.25,942.955,2223.9475
29.0475,308.0775,898.86,10676.695
26.0975,629.0775,1155.6275,8627.045
223.3,618.71,3808.11,853.8375
91.1025,277.8475,299.5275,2575.74
162.6675,2895.765,356.865,22798.7275
230.115,245.095,1588.8075,1570.73
104.705,105.69,957.19,646.14
120.2125,262.765,193.6375,590.895
108.755,240.975,504.0825,9028.5525
138.4625,550.2475,780.575,5253.4025
66.9975,357.5275,758.565,14030.6075
159.2125,1518.9325,738.835,2991.28
82.8275,258.275,320.57,7062.5475
18.49,680.765,369.37,6551.505
311.9925,258.8875,304.41,1997.17
127.405,260.5225,1561.835,2416.265
55.465,154.355,680.605,3639.47
154.745,159.3125,362.3225,3406.6075
107.11,286.415,137.005,5815.645
84.0125,158.3175,681.2225,1060.4425
53.66,83.19,1093.315,7030.8875
120.4675,634.6925,1205.405,3560.5025
796.29,435.1975,541.9075,2355.41
48.645,301.8375,555.8925,1510.86
1957.71,1184.0975,735.06,1231.0425
44.045,65.6025,1581.0475,9536.9925
41.1875,95.855,5574.9775,1210.0675
108.2925,1175.19,1034.095,4065.2475
142.19,1455.4375,1517.18,1531.06
442.55,830.115,753.8675,12848.02
58.1025,487.99,271.51,1369.29
66.995,153.575,125.4125,238398.92
170.27,840.975,380.915,1591.115
1133.71,339.235,1425.0975,35653.885
344.655,424.945,531.39,1953.615
1912.7425,782.9525,1604.1975,3327.7675
43.01,580.62,9995.11,867.8775
61.39,197.5025,1757.9675,1270.8275
40.565,154.375,223.28,1679.4475
77.7675,925.485,846.67,532.625
85.3125,937.2425,2407.5575,32516.865
48.1275,346.915,1584.1875,1291.8325
36.71,83.15,880.87,9335.86
61.705,2932.74,2189.0025,1375.0775
119.15,267.765,267.31,1404.365
39.28,117.1675,1386.4775,3750.68
18.5875,119.5525,3878.8725,5036.305
147.015,1072.5675,1974.1975,9111.835
171.0025,301.41,353.135,15467.1
57.655,350.5775,1640.505,749.8225
24.02,489.3475,3241.555,2900.9475
89.7275,1589.685,286.825,852.085
32.36,500.165,3067.585,842.71
128.43,442.2525,1192.2775,60596.0275
51.14,193.535,1343.7175,516.7775
86.7175,1184.525,473.125,4253.1575
241.995,177.2,1890.405,1496.7225
82.3125,99.0875,323.0125,893.135
162.3575,101.2075,4141.735,2056.8325
1169.65,635.0875,3579.525,2196.745
44.7675,411.2,1558.0375,2465.615
48.2375,122.0825,278.5725,2274.25
89.8325,555.795,272.5025,18216.2325
104.555,398.9475,245.7275,1891.3875
71.61,781.93,1238.1425,3504.9975
70.625,152.16,541.44,2617.3125
85.6425,284.24,889.705,23916.3
193.6375,378.5475,543.16,3418.2875
96.455,404.4,670.1025,1227.5225
195.195,667.42,1618.91,17197.345
99.1,462.7625,1706.61,8658.125
39.69,1591.16,1228.4725,1042.605
30.7625,383.07,520.1025,6349.735
258.265,3692.54,1164.72,6989.8775
105.36,221.695,787.4225,29739.9775
317.6975,310.2375,35900.92,1451.8125
26.885,526.305,580.8975,5922.5825
237.4575,265.2575,1287.945,6956.8625
24.39,376.165,598.8225,387.125
26.1475,633.85,542.525,3593.1525
66.9725,938.4525,342.375,2888.575
284.58,654.8075,376.7375,399.8325
59.0025,879.8225,2489.84,9304.39
75.9825,327.6825,424.755,1797.13
70.0875,237.33,3979.635,888.1075
82.695,72.7925,985.5525,67879.8075
689.22,398.6075,453.4325,1634.9475
109.915,1061.555,3177.25,38626.885
56.415,1208.0975,853.1425,1297.575
67.68,911.445,3735.915,2448.7475
151.385,790.9875,1765.3075,3226.12
150.66,983.235,938.69,1356.7925
26.7025,4712.3075,1022.85,2993.3925
1663.5625,166.955,797.8075,2939.9275
234.2125,252.3975,276.5225,10816.4625
33.6275,253.925,331.0725,581.3725
87.525,628.805,6922.975,2560.4825
50.7775,94.88,14289.79,6439.8075
81.4,789.1475,29822.265,508.5625
90.295,932.5775,655.5025,6657.275
137.6475,475.0725,390.75,1467.1225
580.6525,86.465,282.36,319.3075
76.18,205.3425,2024.6225,883.8425
114.0875,63.7625,537.6125,1926.6075
164.795,2274.825,3217.945,8722.3875
113.1775,592.835,1797.7675,700.9025
559.32,104.5125,6116.4975,712.0775
47.885,225.445,530.77,1628.5025
548.78,126.065,556.2575,450.32
153.925,167.5525,4656.9875,2586.915
65.8575,567.665,465.5825,5698.6775
47.755,387.925,2859.7775,764.605
109.9975,223.4775,1328.7525,4735.1275
68.205,232.4825,3923.6175,7454.175
28.5475,128.7225,558.4675,1821.4525
205.9,122.635,1516.89,7561.065
102.0525,142.3025,1852.34,4439.7225
115.4775,306.7725,217.5475,365.48
147.5325,950.985,476.75,329.8975
109.0275,857.1525,1657.765,1018.3025
877.37,151.2825,1055.435,8873.79
25.275,160.3925,472.6425,2359.1425
146.37,116.46,3211.99,4296.76
114.0125,633.4475,152.0725,755.005
79.365,151.7025,830.565,6720.2825
65.4675,581.76,688.5175,4605.7425
112.19,69.955,267.85,15240.695
107.7,241.5175,351.71,939.9225
55.27,472.2875,2034.66,772.7225
62.0375,1413.0325,746.125,543.935
138.3075,1789.39,229.615,1231.445
173.42,177.4925,513.2625,2741.8225
95.215,255.415,2188.915,963.8225
94.4175,267.79,933.8325,385.43
116.335,1381.475,149.32,1188.1275
172.5375,4128.9725,699.9075,1403.14
107.2675,1075.085,1806.195,4833.1325
29.71,7455.1525,304.6825,33500.86
146.4375,1823.61,252.275,21479.6625
249.93,1264.5975,239.635,58488.1975
226.06,1607.25,784.545,2753.88
257.545,352.5775,309.7225,3361.23
41.285,283.9225,1872.7375,953.11
122.57,438.8125,3873.715,4516.0275
224.175,508.32,3729.305,13660.7125
43.4675,256.9675,585.145,888.7825
47.6275,376.845,234.2275,500.9925
70.94,68.835,440.285,420.42
239.3725,702.3025,577.39,750.23
291.1425,1796.1975,2505.5025,2906.715
518.255,214.3425,3871.6475,1142.615
27.3925,621.895,338.5,9337.5075
181.22,127.595,998.2475,5467.3975
300.065,713.3025,6062.53,2486.32
84.965,481.1775,415.635,2446.57
31.8175,213.87,1229.5875,14036.675
258.73,141.095,249.195,1405.205
45.9225,59.8475,560.4075,1580.85
193.9825,171.635,1517.535,10267.38
15.0425,133.415,7241.6,1816.52
115.3225,1165.17,234.1225,1506.9725
90.7125,971.06,3687.7575,13234.9175
958.39,1927.735,576.475,1170.58
70.6525,92.19,804.93,12325.085
57.1375,1994.67,5802.3925,8707.3025
152.5525,3267.58,247.275,292428.0175
21.675,605.8025,2477.1825,3196.99
311.0775,540.9575,147.2025,1996.9025
40.755,447.515,153.665,1636.995
41.2275,9142.1,3066.2075,1329.1325
171.34,154.36,320.0475,1103.155
129.165,1462.1925,460.58,553.605
286.705,677.72,652.215,1064.2975
25.4375,4082.1125,1203.5075,579.3675
148.3725,192.6425,1789.855,2369.9925
26.505,80.085,755.905,1111.03
80.56,80.34,414.565,3450.2925
25.505,796.4325,8484.675,4171.405
836.265,777.02,2763.6925,1632.6075
292.6375,192.9125,911.6475,1078.6375
82.975,1378.84,523.3325,7084.7175
29.4075,567.0525,340.295,1564.215
59.5775,296.675,364.775,10810.2125
62.2625,891.5175,5354.9,1058.4475
28.4275,350.6075,706.0025,1377.875
24.85,502.3475,2106.295,3158.3275
278.43,280.96,1319.4675,5786.4425
404.3425,319.6875,642.9425,984.9725
53.3825,1232.3525,257.35,10559.3675
110.7275,584.5675,2294.7,2458.8525
42.505,137.3475,7486.5125,3309.97
154.915,154.605,251.195,737.91
45.5375,822.355,137.6075,12069.5425
209.555,1835.825,339.6875,3322.49
160.94,479.3775,800.285,806.68
37.79,502.6725,198.9175,20335.1725
73.6725,3090.3225,2675.3375,820.05
98.06,190.72,249.595,6092.64
58.3925,1105.715,965.7625,21758.615
131.18,311.145,175.6,1850.7325
63.385,836.3325,1011.58,3797.6825
47.5875,618.475,691.98,6968.0975
188.0125,1672.6975,538.745,3021.865
65.35,1250.0525,4592.99,2428.5475
365.1775,702.39,445.045,2355.855
160.01,571.1625,1462.4025,1757.2475
114.9475,315.92,2529.6325,3484.6725
40.4375,115.97,813.0625,3222.975
91.73,199.33,1212.8,6154.705
118.725,368.9225,945.6625,1806.6
38.9425,185.4,1015.83,1194.9
104.4075,329.845,1412.81,2635.2775
272.65,1289.0025,1720.1625,4308.69
111.65,197.6175,1172.6025,4537.3025
44.58,167.29,311.9975,869.0625
142.7625,236.5,1141.9625,988.1325
383.41,883.52,4773.9275,12769.0175
46.33,103.3975,452.965,526.6375
56.6925,289.125,3343.58,654.1175
72.99,227.8325,10098.41,483.9875
209.11,1321.4575,669.4975,746.365
76.3175,201.9125,1333.335,2113.9775
94.2125,234.83,264.7875,25040.2125
162.0425,2413.475,163.9175,4653.2825
44.3025,913.14,1721.6375,165.77
35.7425,227.0275,5714.375,5416.6325
684.07,220.105,6713.0525,3400.98
44.1975,222.8525,535.96,3478.9975
60.4275,297.6425,641.57,683.5325
90.8275,131.1925,2097.225,771.425
45.035,79.8325,255.22,3198.7
973.33,2003.1725,826.54,1907.6175
70.215,51.685,620.4675,5992.3175
482.57,120.685,2330.3225,4327.23
374.1975,95.74,1169.75,817.7675
