20-91,36-157,50-218,75-320
162.7225,295.26,968.785,264.295
69.9775,145.9475,166.35,1121.93
166.16,827.815,258.7275,2224.785
126.8075,139.82,946.1625,860.7425
81.9125,78.49,355.435,369.725
69.6,149.14,143.7125,390.43
79.7525,144.825,194.785,1416.95
83.08,281.08,321.0175,1112.77
49.675,275.5925,298.5625,5323.1125
92.775,561.4725,334.7325,774.9225
49.74,179.9475,182.49,2754.3675
17.47,306.4175,267.4675,1369.82
305.685,152.05,232.3875,850.02
107.56,196.6525,626.2825,1345.7375
63.4225,113.0225,318.09,1212.1
92.1425,114.6175,210.995,2094.575
55.2875,158.585,95.42,2112.5275
66.09,84.45,457.7175,650.735
51.0875,57.4175,547.77,3665.4075
88.9,385.0475,591.9925,1189.8425
383.925,238.7325,283.1275,942.1275
39.6825,150.7925,294.4625,817.4825
649.545,537.4425,345.5775,794.0475
46.5825,56.0375,592.8625,4135.93
29.4475,69.0575,1321.6675,679.545
79.95,377.8475,262.7875,1591.645
95.185,548.365,629.92,534.4975
218.565,390.6525,427.8125,6566.16
52.4375,262.8825,176.6725,644.385
61.7675,110.19,100.9775,12139.32
132.07,315.5625,244.4,608.915
421.255,177.6825,511.8625,13981.59
250.45,287.7725,400.855,808.6825
545.58,385.6475,453.8025,1151.2275
39.76,337.6575,6362.2125,332.37
45.6575,145.5425,603.065,618.125
38.62,115.9025,134.2125,675.19
63.2625,425.8525,442.165,308.7975
63.405,480.5175,919.1775,6273.53
33.2525,175.2425,888.075,586.7675
32.1675,65.18,487.48,3435.0175
50.84,587.74,714.2675,751.2625
64.9675,230.68,205.53,655.9225
28.3025,93.815,597.915,1440.825
17.46,82.6,1027.8975,1308.5225
97.05,317.155,745.9375,1898.9975
112.44,217.1375,208.72,3175.58
54.7075,165.895,742.075,357.3075
21.945,278.2025,1589.1275,875.4775
104.1075,1046.9175,173.19,428.875
33.69,214.02,860.1,396.325
99.55,249.2675,664.6,8514.41
40.0725,142.0225,742.8675,277.0125
65.74,466.975,288.12,1949.8175
129.245,115.6775,913.59,806.1875
54.6875,85.5425,194.495,442.805
82.99,74.945,1102.5725,964.2275
398.78,460.2975,2028.7525,1039.865
41.8625,320.1,635.635,903.275
41.02,92.915,135.0675,1279.9725
65.7225,231.765,165.025,4371.955
75.9675,240.665,151.255,907.4575
82.4,347.47,535.6025,1430.94
62.825,98.64,437.1,1639.0775
57.8775,181.895,491.61,5169.4125
103.74,235.8475,361.8675,1295.3325
87.8175,174.35,322.21,551.1775
117.89,389.46,530.3975,5325.7825
56.2525,185.3075,1004.725,1803.375
30.16,1061.4225,337.865,523.485
31.5975,213.445,283.5075,1576.56
174.885,1825.225,558.58,2159.615
81.1,144.0275,379.7875,4947.195
136.075,195.3975,4378.75,755.65
28.35,357.3775,237.01,2464.9725
94.645,190.345,497.6175,2535.2575
28.565,194.8725,267.03,236.74
21.4,378.155,345.755,1372.265
48.48,387.9625,209.0675,1307.6675
148.81,320.3125,235.645,256.4075
54.98,433.4425,1733.9,3301.49
50.66,146.8325,240.205,518.655
68.52,150.5925,1332.34,582.2575
79.235,51.3275,380.455,10981.4325
268.0175,256.4825,209.2925,723.9325
109.04,315.1775,675.2925,9800.875
42.4725,386.985,382.3275,614.36
72.49,366.49,1120.695,845.6725
114.81,375.985,977.19,1306.6975
121.23,510.5075,541.3325,510.1525
26.7025,4072.8625,569.515,611.5375
962.545,162.1825,336.8325,1291.175
110.4575,140.075,214.0475,3990.025
28.3775,144.725,192.9075,263.1875
52.6775,280.455,2532.6775,954.39
32.95,69.055,1459.52,2419.44
78.62,226.2025,6544.6875,250.9225
66.3075,686.47,310.3125,3896.0725
100.82,229.775,201.9075,744.15
230.535,76.2125,183.615,226.7575
50.295,96.5175,1005.1525,394.75
100.2675,50.8575,388.43,703.9475
121.61,750.8775,645.605,3886.765
88.8125,284.4,1105.365,429.8075
339.82,76.735,1752.02,363.465
38.3875,134.9475,253.25,764.52
341.34,77.7475,315.4975,237.32
135.005,111.2325,1856.9075,1020.22
40.2825,368.965,313.4775,1210.305
39.3525,217.8875,1420.245,337.595
56.4925,147.805,468.1275,1074.3725
74.125,149.645,1859.37,1456.5925
26.7625,103.9175,361.715,661.925
